Place,Vibes I ,Coffee I,Vibes D,Coffee D,Note,Lat,Lng,Maps
Expo Art,Amazeballs,Amazeballs,Amazeballs,Amazeballs,,-8.685884,115.156267,https://maps.app.goo.gl/r2HEKgXDqUwEhjWM9
Prince,Meh,Good,Good,Amazeballs,,-8.652251,115.172539,https://maps.app.goo.gl/8xNp36vRSTvBWUM68
TheNomad,,,Good,Amazeballs,,-8.627233,115.152910,https://maps.app.goo.gl/h9h5GPU78xtuxmDJ8?g_st=ac
Vinyl,Amazeballs,Amazeballs,Amazeballs,Amazeballs,,-8.665370,115.152391,https://maps.app.goo.gl/24e7GNr1gXHWxm9BA
Olikopi,Good,Good,Amazeballs,Good,,-8.681197,115.164602,https://maps.app.goo.gl/ggTMdCD3kigLXHXp9
Wildflower,Good,Amazeballs,Good,Good,,-8.652447,115.160470,https://maps.app.goo.gl/R6W7gJ2RC8a74RLX6
Semeja,Sucks,,Ok,Good,,-8.664480,115.172213,https://maps.app.goo.gl/ekmGJnXezBYFzGMS6
Kurang Lebih,Ok,Ok,Good,Good,,-8.655771,115.162459,https://maps.app.goo.gl/DvkrPYe2z6QkC3qB8
Dewata,,,Good,Good,,-8.716864,115.213308,https://maps.app.goo.gl/WAJMbANpbNvRHbwZA
Japa,Meh,Meh,Ok,Good,,-8.634999,115.126390,https://maps.app.goo.gl/DvHhAtpWVvrs3Wv39
Kopitoko,Good,Good,Good,Good,,-8.654343,115.151070,https://maps.app.goo.gl/6TKFLejj1UdAs2Qa7?g_st=ac
Campus,Amazeballs,Amazeballs,Good,Meh,,-8.640051,115.154060,https://maps.app.goo.gl/fJsQHaRf37zVc6zLA
Kobu,Amazeballs,Good,Amazeballs,Ok,,-8.650107,115.159556,https://maps.app.goo.gl/Fie2p4w36ghBem167
Kenduri,Ok,Ok,Meh,Ok,,-8.663581,115.164322,https://maps.app.goo.gl/SoBkMGfSHqUsdLNB9
Bali Brew,Ok,Good,Ok,Ok,,-8.646269,115.116861,https://maps.app.goo.gl/dy84T9zvMy8TQnzD9
Meet up,Good,Good,Good,Ok,,-8.681197,115.164602,https://maps.app.goo.gl/jqrunGjkMVDML7L18
Kongkow,Ok,Ok,Meh,Sucks,,-8.659527,115.130144,https://maps.app.goo.gl/upF8Xnu7RSsNf7AH6
Umane,Amazeballs,Amazeballs,Amazeballs,Amazeballs,,-8.671370,115.168825,https://maps.app.goo.gl/wophnX6mMCZCYDGE7
Grön,Ok,Meh,Ok,Good,,-8.652258,115.143484,https://maps.app.goo.gl/Hn2qwcp2jykhNRLR6
*7AM,Meh,Good,Meh,Amazeballs,Crowded and loud,-8.657205,115.150971,https://maps.app.goo.gl/A2prudELTx1SuoZe7
Hasamdong,Good,Good,Good,Amazeballs,,-8.677690,115.160773,https://maps.app.goo.gl/VMosMLVzqsB8oHKq7?g_st=ac
KAI,Good,Ok,Good,Amazeballs,Vibes good but toilet didn't flush,-8.662343,115.139656,https://maps.app.goo.gl/4NAFPXvwrjQXy9cj7
Culture,Sucks,,Sucks,,Poorly maintained and sour smell,-8.662343,115.139656,https://maps.app.goo.gl/vn56HUDujNchgRxG9?g_st=ac
